Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2018,101751,,Exempt,7500 S SOUTH SHORE DR,60649,,true,SOUTH SHORE,,"70,000",,1,"15,034",,,,,,,,,,,,,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
2018,161147,72 E 11th St,Not Submitted,72 E 11th St,60605,0.0,false,LOOP,,"66,796",,1,"2,938",,,,,,,,,,,,,41.86954547,-87.62508911,"(41.86954547, -87.62508911)"
2017,159111,Aurora Chicago Lakeshore Hospital,Submitted,4840 N. Marine Drive,60640,,,UPTOWN,Other - Specialty Hospital,"51,140",1962,1,,,,,,,,,,,,,,41.97030477,-87.65057835,"(41.97030477, -87.65057835)"
2016,146897,Vision Rentals,Submitted,1624 W. Division St,60622,,,WEST TOWN,Multifamily Housing,"62,218",2009,1,,,,,,,,,,,,,,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
2016,175120,Polish Roman Catholic Union of America,Submitted,984 N. Milwaukee Ave,60642,,,WEST TOWN,Office,"100,000",1912,1,,,,,,,,,,,,,,41.89940453,-87.66143331,"(41.89940453, -87.66143331)"
2016,134790,East West University,Submitted,819 S.Wabash,60605,,,LOOP,Office,"100,000",1910,1,,,,,,,,,,,,,,41.87141289,-87.6251142,"(41.87141289, -87.6251142)"
2017,136784,Columbus Manor Nursing Home,Submitted,5107 W. Jackson Blvd.,60644,,,AUSTIN,Other - Lodging/Residential,"50,371",1959,5,,,,,,,,,,,,,,41.87643089,-87.75408077,"(41.87643089, -87.75408077)"
2015,251266,363 W. Erie,Submitted,363 W. Erie,60654,,,NEAR NORTH SIDE,Office,"121,018",1914,1,,100,"1,479,926","1,894,420",,,,27.9,54.8,29.1,56.1,398,3.3,41.893716060000003,-87.638161960000005,"(41.89371606, -87.63816196)"
2016,175867,Six Corners Plaza,Submitted,3970-3982 Milwaukee Avenue,60641,,,PORTAGE PARK,Strip Mall,"80,596",1966,1,,,,,,,,,,,,,,41.952901,-87.746534,"(41.952901, -87.746534)"
2018,254997,Linkt Apartments,Not Submitted,830 N MILWAUKEE AVE,60642,0.0,false,West Town,,"54,068",,1,847,,,,,,,,,,,,,41.89700341,-87.65666942,"(41.89700341, -87.65666942)"
